IdMarca,brand
234,De La Soul
235,Akiko Yano
236,Karen Carpenter
237,Michael Faircloth
238,Judith Love- Illustrator
239,LaMar Campbell
240,Wendy Bagwell
241,Masonna
242,Cristina D'Avena
243,Sam Levine
244,Peewee Ferris
245,Big Daddy G
246,Nymphs
247,Wolfgang Rubsam
248,Teddy Wilson
249,"Walter ""Wolfman"" Washington"
250,Delfins
251,Narciso Yepes
252,Brian Auger & Trinity
253,Subsurfing
254,Kyo
255,Rednex
256,The Dubliners
257,Anton Bruckner
258,The ShowGoats
259,Randall Leonard
260,Legacy of Sound
261,+
262,The Pretenders
263,David Gibson
264,Casey Jones
265,Erin Flynn
266,Vince Gill
267,Gavleborg Symphony Orchestra
268,Black Sun Ensemble
269,Bigg Mouth
270,Loop
271,Francoise Hardy
272,Don Lewis Band
273,Toucans Steel Drum Band
274,Kakhidze
275,Dr. Ring-Ding and H.P. Setter
276,Plan C
277,Barao Vermelho
278,Winterhawks
279,Bach
280,Hellshock
281,Holden
282,Dave Angel
283,Kirsten &amp; Soren
284,Nadge
285,Jam & Spoon featuring Plavka
286,Lorie
287,Graham Johnson Piano Ralph Kohn Baritone
288,Malaria
289,Mondo Grosso
290,Screaming Mad George & Psychosis
291,Mylene Farmer
292,bao yi han
293,Richard Darbyshire
294,Greeting Cards
295,St Mucus
296,Blonde Enuff
297,Jerrod Niemann
298,Timi Yuro
299,Ralf Illenberger
300,Elvis Presley
301,various
302,Bellamy Brothers
303,Eddy Shaver
304,INXS
305,Dolly Parton
306,"Hagen, Lane, Larsen, Musto, Suits, Thomas, Turrin Diemer"
307,Armandinho Dodo &amp; Osmar
308,Christine Anu
309,Olsen Brothers
310,Van Halen
311,Freternia
312,Sound Mind Theater
313,Black Christmas 2000
314,Moon Seven Times
315,Tom Waits
316,Andrew Gold
317,Himuro Kyosuke
318,Mai Kuraki
319,Perisinakis Paris
320,Truck Stop
321,Amazonia Blue
322,Turntable Bay
323,Toria Burrell
324,Keith Waa
325,Fred Ziwich and The International Sound Machine
326,The Bad
327,Joseph Haydn
328,Kenny Barron
329,Beethoven
330,Ted Longbottom
331,H. DISTLER
332,Nicole
333,Oli P
334,Hale / Wilder
335,Deadstar
336,Russ T. Nailz
337,Maruja Lenero
338,Mulu
339,Jackie Wilson
340,Art Pepper
341,Face Down
342,Isaura Garcia
343,Bill &amp; Gloria Gaither and Their Homecomi
344,2ne1
345,Royal Philharmonic Orchestra
346,L. A. Graf
347,Paulo Belinatti
348,Buddy MacMaster
349,Henry Kaiser
350,Sarah Jory
351,Jimi Hendrix
352,Goombay Dance Band
353,Weird Uncle Betty
354,Eric La Casa
355,Maurice Jarre
356,Phunky Data
357,Edwyn Collins
358,Liane Carroll
359,Tailgunner
360,CHARLIE RICH
361,Axehammer
362,Beach Hits
363,Michael Card
364,Baby Einstein Music Box Orchestra
365,Dr. Kam Yuen
366,Michael Kobr
367,Stan Fortuna
368,Humphrey Bogart
369,Teresa Teng
370,ting wei meng
371,Jimi Hendrix & Lightnin Rod
372,Spilling Poetry
373,Swerve
374,Babel Fish
375,Dean Shostak
376,Walkin' Large
377,Charlie Parker
378,Gregorian Chant
379,Golden Bough
380,Phil Keaggy
381,Bug Candy
382,Jana Stanfield
383,Victoria Newton
384,Anne O'Meara Heaton
385,Chucker
386,Saul Stokes
387,Ken Aldcroft
388,Kemopetrol
389,Edward Cook
390,18 Wheeler
391,Broder Daniel
392,Ray Crawford
393,Barry Manilow
394,Balzac
395,P-Model
396,Clementine
397,V/A
398,Selah
399,Anthony Hamilton
400,The Music Machine
401,Glide
402,Susan Maughan
403,Olivia Newton-John
404,Katinguele
405,Len Cooper
406,Highland Sun
407,John Van Horn
408,J. Teddy Johnson
409,Jive Bunny
410,Glasgow Gangster
411,Margie Evans
412,Florian Ast
413,Sir Edward Elgar
414,Firehose
415,Carl Friedrich Abel
416,Nitro Praise
417,Say a Little Prayer
418,Pia Colombo
419,Kim Simpson
420,Ron Rendek
421,Miss Bee Spoiled
422,David Holmes
423,Dust of Basement
424,Farrall
425,Stone Temple Pilots
426,Ray Brown &amp; The Whispers
427,&amp;
428,Sheena Easton
429,Nancy Thomas
430,Howard Hello
431,Philip Quast
432,TRANCEMISSION
433,Ann Gaytan
434,Candy Forest and Emil Miland with Benjamin Mordush and The Singing Rainbow Youth Ensemble
435,Great Black Gospel Music
436,Black & Beautiful-Ballads (1998)
437,Wien Ensemble Bella Musica
438,Mike Shannon & Chats Sauvage
439,Hans Rosbaud
440,Wilhelm Kempff
441,Van Morrison
442,Samuel Reid
443,Frankie McWhorter
444,Cecilia Toussaint
445,Kid Rock
446,Camille Saint-Sans
447,Sam Brown
448,7 Minds
449,Tillmann Uhrmacher
450,Ralph Macdonald
451,Basia
452,Wyclef Jean
453,Lifeway Worship Music Group
454,Anthony & The Camp
455,Jive Bunny & The Mastermixers
456,Sean Tyla
457,Billy Joe Shaver
458,Mark Alan
459,Omega
460,Atoll
461,Stuart Anderson
462,Finbar Wright
463,Ivan Rebroff
464,Imamu Amiri Baraka
465,Robert Johnson
466,Oliver Wakeman
467,Unrest
468,Smudge
469,Septic Flesh
470,Father Stan Fortuna
471,Robert Slap
472,West Street Mob
473,Morning Musume
474,Mountairy.USA band
475,Cannibal Whore Feast
476,Tommy Facenda
477,CANDOLI & FONTANA
478,Eiliff
479,Misty Edwards
480,Steve Hindalong
481,Kevin So
482,Dick Tunney
483,Donnie Dark
484,Kristy Lee
485,Eric Allen
486,SYnth-sonic Christian Order
487,West End Girls
488,Joshua Radin
489,Ltg. Obstlt. Roland Kahle
490,Sergei Novikov
491,Temps Perdu
492,Per Nrgrd
493,Astrid Harzbecker
494,Knucklehedz
495,Peace Choir
496,Uriah Heep
497,Ricky Encarnacion
498,Red Aim
499,PAOLA & DADO MO ARNESANO
500,Incantations
501,Janis Joplin
502,Gabriele Santini
503,Lost World
504,Headz (Series)
505,Jan Pieterszoon Sweelink
506,Saxorior
507,Jean-Pierre Rampal
508,Stephen Stapley
509,Lori Bell
510,The Neighbors
511,Larry Norman
512,Dean Wayburn
513,Immigrants
514,Scott Krippayne
515,Phantasia
516,The Woodley Ensemble
517,Monir Vakili
518,Silvana Di Lorenzo
519,Janie Grey
520,Jay-Jays
521,Keri Noble
522,Time Life
523,Soul Dujour
524,Prince
525,Fujiko Hemming
526,Bob Van Asperen
527,Anthony Polistina
528,Pat Metheny Group
529,Eugen Jochum
530,Alan Moore
531,Conrad Askland
532,Seiji Ozawa
533,Gerling
534,Budapest Philharmonic Orchestra
535,Clyde Wrenn
536,Eddie DeGarmo
537,Roland Gresham
538,Foo Fighters
539,Sergio Facheli
540,The Pasadenas
541,Steven Adams
542,Ganga Giri
543,Kurth &amp; Taylor
544,One Hit Wonders-80's
545,Kompass
546,Bardo
547,Three Season Ant
548,Daler Mehndi
549,Handel
550,Nature Quest
551,Spencer Nilsen
552,Maury Muehleisen
553,Aviv Geffen
554,Stickshift Annie
555,Roxette
556,Riesgo De Contagio
557,Carmen McRae
558,The Bay Ridge Band
559,Karen Kosowski
560,A VIDA AZUL
561,The Living End
562,Magnet
563,Wendy & Lisa
564,Tone Loc
565,Dornenreich
566,BoA
567,Isaac Watts
568,Rhonda Frazier
569,VARIOS INTERPRETES
570,Human Condition
571,Vanessa Williams
572,Inka Samai
573,Interludes
574,Catalepsy
575,Oleta Adams
576,Bernard Xolotl
577,Mountain
578,Dear Mr. President
579,Frank Enea
580,Wynton Marsalis
581,Desperation
582,Thomas Lang
583,Michael Learns To Rock
584,Planet Violet
585,Percy Sledge
586,Prezioso
587,Jim Salestrom
588,Scimone/Konopka
589,Michael John Poirier
590,Grinch
591,Gary Numan
592,Claudio Puntin
593,V.A.
594,Barry Bekker
595,Bushbaby
596,The Nihau Brothers
597,Attack
598,Agni Parthene
599,Dmitri Shostakovich
600,Thoth
601,Pegtop
602,Cenobita
603,Rudolf Kempe
604,Duda Mata
605,Annie Lennox
606,Tauno Satomaa
607,Jerome Hameau
608,Blue
609,Diana Krall
610,Myles Goodwyn
611,Otto
612,The monks of Parkminster
613,Jacobstone
614,Mozart
615,karthi
616,Ephemera
617,Bobcat
618,Nature's Magic
619,Robert Erdesz
620,Alice Martineau
621,Kitaro
622,E.G. Daily
623,Rude Bones
624,Michael Chain
625,The Hangboxers
626,Orchestra Philharmonica Italiana
627,Josh Kelley
628,Michael McLean
629,Mystic Siva
630,"Eddie Palmieri - ""Cheo' Feliciano"
631,Considering Lily
632,Claude Debussy
633,Santa Fe
634,Ayumi Hamasaki
635,Clint Eastwood
636,Women Of Faith
637,Linda Ronstadt
638,Rob & Raz
639,Timothy James Meaney
640,Jasper Carrott
641,wakingNorman
642,Fource
643,Church Universal and Triumphant Choir
644,Charles Aznavour
645,Eddie Bayers
646,LaToya Jackson
647,Patty Loveless
648,Kimbo
649,Lynch
650,LeAnn Rimes
651,German Oak
652,Marc Anthony
653,Sarah Siskind
654,Carol of Harvest
655,Another Class
656,Inxs
657,Amazulu
658,Butthole Surfers
659,KIDZ BOP Kids
660,ANIMATION
661,Ken Labarbera
662,"John ""Katman"" Katzbeck"
663,The Swinging Elves
664,Suhaila Salimpour
665,George Burns
666,Hydrogyn
667,Barry White
668,Ganymede
669,Temptations
670,Galaxy Sound Orchestra
671,Joe Satriani
672,MC Hammer
673,Dave King
674,Caroline Myss
675,Outrider
676,"Wand,gunter/ndr-Sinfonieorchester Hamburg"
677,Maranatha! Singers
678,Earl Palmer
679,Beat Soup
680,Brock Walsh
681,Celine Dion
682,Rodney Miller
683,Erin Hay
684,Christoph Von Dohnanyi
685,Michael Harner
686,Werrason
687,Natalie Cole
688,Razormaid
689,Sean Morey
690,Jim Fyhrie
691,Herb Alpert
692,Moon Theory
693,Chemistry Dover
694,Robert &amp; Robin Kochis
695,Jim Beckwith &amp; Native Vibe
696,Richard Clapton
697,Superhitparade der Volksmusik 1990-Hits des Jahres
698,Intrance
699,Rain Tree Crow
700,D'Mention
701,John Denver
702,Dave Lubben
703,Grupo Marrano
704,Sonata Arctica
705,Alaska Halloween
706,Jeff Lang
707,Cole Porter
708,Jim Beer
709,Brian Eno
710,Moody Brothers
711,Clint Elias
712,Elton John
713,Spenko
714,Phil Collins
715,Lavine Hudson
716,Stephen Marq
717,Worship Life
718,DJ PHIL B
719,Jason Morant
720,Keane
721,Nature's Music
722,E People
723,Gogo Air Heart
724,Maaya Sakamoto
725,Ace Juice
726,Marc Almond
727,David Hasselhoff
728,Mitsou
729,David Embry
730,Lucid Nation
731,Chance Thomas
732,THe Bobbettes
733,Maranatha Praise Band
734,Bedich Smetana
735,Mary Love
736,Adrian Gale
737,Steve Brock
738,Spirit Farm
739,Haystack
740,Elisabeth Schwarzkopf
741,Steve Kilbey
742,Big Pic
743,Dana Cooper
744,Vicki Esralew
745,"(),"
746,Clea Rose
747,Stranglers
748,Eoghan Heaslip
749,Spirit and the Bride
750,Psychedelic Experience
751,Bad Weather Project
752,Sum 41
753,Songs for the Soul Winning Church
754,Edwin Hawkins Singers
755,Fly Mar
756,Godsent Humans
757,LIFESCAPES
758,Igor Ushakov
759,Shadow Stalker
760,Britney Spears
761,Smoke City
762,Andrei Kitaev
763,Benumb
764,Highway 61 Revisited
765,Don Moen
766,Paachelbel
767,Klaus Tennstedt
768,Lawrence Overshown
769,Verbs
770,True Spiritual Power
771,Tiger Okoshi
772,Vibro Kings
773,Academy of St. Martin in the Fields
774,Tony Gore & Majesty
775,Brittany Borland
776,Cal Bennett
777,Dave Wiant
778,The Clovers
779,Heart Of Christmas
780,conductor David Loebel
781,Claude Tissendier
782,Modest Mussorgsky
783,Fleshtones
784,Seraiah
785,Jessie Rogers
786,Who's The Fat Guy?
787,Tran Quang Hai
788,Wiener Sngerknaben
789,Blightobody
790,Anders Paulsson
791,Mitty Collier
792,Sunita Staneslow
793,Rosco Martinez
794,John Tsunam
795,RANDY &amp; THE RAINBOWS
796,Deluxury
797,Jean Sibelius
798,Amy Grant
799,Video Kids
800,Ned Collette
801,Jr. and the Mississippi Cotton Club Eddie Cotton
802,Dexter Wright
803,Jar
804,Roger Bellon and Harlan Collins
805,Alan Jay Lerner
806,Chrome Johnson
807,Stefano Mainetti
808,Amilcare Ponchielli
809,Cran
810,Roy Book Binder
811,Cristy Lane
812,Lalalover
813,THE RIVILEERS &THE FIDELITYS
814,Thomas Trotter
815,Mico Wave
816,Elgar
817,John Coltrane
818,The Beach Boys
819,The Green Room
820,Criss Angel
821,Maranatha!  Promise Band
822,Last Tuesday
823,Gigi D'Agostino
824,Master P
825,Kamran & Hooman
826,GAA Corporation
827,The Broadcasters
828,Rose
829,Janus Standing
830,Victory
831,Tamar-Kali
832,Gary McSpadden
833,Betty Jean Robinson
834,RICHARD WAGNER
835,Jim Brickman
836,Soundtrack
837,Sonero Clasico Del Caribe
838,Sister Soleil
839,Kindermusik
840,Little Brother
841,Anna Tatangelo
842,Yves Duteil
843,Desperation Band
844,Chris Lizotte
845,Eddie Hazel
846,Spector 45
847,"Parties, Anything Weddings"
848,Neversaint
849,George Michael
850,Gram Parsons
851,Kaufman
852,Cetu Javu
853,Brian Doerksen
854,Colorvine
855,Joe Pearles
856,Scottish Chamber Orchestra
857,Poolsville
858,Giya Kancheli
859,Guadalupe Pineda
860,Readers Digest
861,Broadway Cast
862,Miklos Rozsa
863,Nelly Furtado
864,Richard Strauss
865,Dieskau
866,Schnappi
867,MVM
868,Calabria Foti
869, &amp; 
870,Steve Hallett
871,Vienna Boys Choir
872,Rimsky-Korsakov
873,Under-Rated X
874,Son Geezinslaw
875,Greg Nelson
876,Niccolo Jommelli
877,Emory Lester
878,Leroy Anderson (1908-1975)
879,Herbie Hancock
880,Dobbins Mass Choir
881,"Divas,Diana Ross,Tina turner, En voge, Aretha Franklin, The Emotions , Anita Ward,Pat benater,Jennifer Holyday Patty smith"
882,Michael Tanaka
883,Vicki Yohe
884,Beyonce
885,Monica & The Moochers
886,Viacheslav Gorsky
887,Susan Marshall
888,Ready Starr
889,Heath Rosborough
890,Gotye
891,Chris Dye
892,Anthony Newman
893,Jim Witter
894,The Rudy Tee Show
895,"Liberated Wailing Wail, Jonathan & Cindy Bernd, etc Kirk Dearman"
896,Stainer
897,Gloria Estefan
898,Three Souls In My Mind
899,Hadley Hockensmith
900,Walter E. Jagiello - (Lil Wally)
901,Robert Lamm
902,Weird Al Yankovic
903,Hampton String Quartet
904,dmitri shostakovich
905,"Junior Wells, Carence Gatemouth Brown, Otis Clay, Bobby Womack, et. al Luther Allison"
906,Becky Fender
907,Miah Bernard
908,"Ashkenazy,vladimir/solti,sir Georg"
909,Joel Mabus
910,Sigmund Groven
911,Keali'i Reichel
912,Vladimir Sofronitsky
913,Peter Maxwell Davies
914,Rudy Ray Moore
915,The Singing Cookes
916,The Fatles
917,Johnny Preston
918,Al Kooper
919,Sam Makia
920,Koji Asano
921,Utada
922,Lifescapes
923,THE FLYING BURRITO BROTHERS THE WACO BROTHERS
924,Jenn Grinels
925,The Dead Rebels
926,Don Ross
927,R. Gliere
928,Hierodeacon German Ryabtsev
929,Wally Gonzales
930,Duo Guardabarranco
931,Jaime Cortez
932,Eddie Dixon & Grapeshot
933,Peter Buchi
934,ONGAKU MUSIC DISTRIBUTION
935,Sleepy Ray and the Mighty Blood
936,Peter Ahia
937,cyndra fyore
938,S.I. Futures
939,Nelson Eddy
940,Teen Machine
941,John Foley
942,Michael W. Smith
943,Brian M. Howard
944,Bath & Body Works
945,Sally Klein O'Connor
946,Foundry
947,Virgil Thomson
948,The Norman Luboff Choir
949,Pax Romana
950,Plunky
951,HOUSTON
952,Aaron Hsu-Flanders
953,Continental Singers
954,Friedemann
955,Franz Lehar
956,Phoneheads
957,Kurt Kaiser
958,William Christie
959,Polish Black Metal with Rob Darken of Graveland
960,Francois Villon
961,Shaya Threats
962,Abbess Hildegard of Bingen
963,Andy Stein
964,Bach; Schubert; Beethoven; Tchaikovsky; and Mozart
965,Mario Del Monaco
966,Steve & Annie Chapman
967,The Elms
968,Stephen Clay Bruce
969,Scartaglen
970,Eva O
971,The Regency Singers and Orchestra
972,Snap
973,J.S Bach
974,Harmoniesalle Orchestra
975,Roger Whittaker
976,American Music Club &amp; Various Artists
977,Level
978,Calvary Chapel
979,The One AM Radio
980,Andre Gagnon
981,Fleetwood Mac
982,Jared Woods
983,Carey Landry and Carol Jean Kinghorn
984,Vladimir Feltsman
985,Antonio Vivaldi
986,Assorted artist
987,Marie-Jo Thum
988,Neil Douglas-Klotz
989,DeDe Vogt
990,Electones
991,Marus Miller
992,Udora
993,Lombard
994,George Frederick handel
995,Rick Moore & Life Force
996,Loop 35
997,Michael O'Connor
998,Paul Weller
999,Tears For Fears
1000,Michael Allen Harrison
1001,The Fiestas
1002,Jamshid
1003,Romantic Strings Orchestra
1004,The Rebelaires
1005,Ilona Mitrecey
1006,Silvius Leopold Weiss
1007,Bev Bos
1008,Jorgen Ernst Hansen
1009,Transformation Crusade
1010,Madeline MacNeil
1011,London Brass
1012,Terry Herman Trio
1013,Lead
1014,Davy Rothbart
1015,Jackie Brenston and his Delta Kings
1016,Eddie Vedder
1017,Variouse Art
1018,New Seekers
1019,Toni Price
1020,Charles Dutoit
1021,Lennex
1022,Eric Tingstad
1023,Maranatha Promise Band
1024,4TO CRECIENTE
1025,HOPETON LEWIS
1026,Janus
1027,country western
1028,Shadow
1029,Matt Musselman
1030,Gerry Mulligan
1031,Miles of Wire
1032,Sofa
1033,Blackblack
1034,Debbie Wiseman
1035,Adlan Cruz
1036,Bob Wiseman
1037,OTMAR SUITNER
1038,Susan Ashton
1039,Battlestar Spaztica
1040,Varla Jean Merman
1041,Alan Chapman Karen Benjamin
1042,Paco Stanley
1043,Hans Tutschku
1044,Edgar O'Neal of The O'Neal Twins
1045,Bastard Squad
1046,David Grand
1047,"Damn Yankees, Bad English, Mr. Big, Poison, and more Skid Row"
1048,Bill Haley and His Comets
1049,William Lee Golden
1050,Morning 40 Federation
1051,Virgil Fox
1052,Michel Beroff
1053,Julie Andrews
1054,The Scene Aesthetic
1055,Lamont
1056,Julian Bream
1057,Cooker John
1058,Executive Producer: Kenneth R Bennett
1059,Bloodstone
1060,Syko
1061,Mark Woodley
1062,CHRIS AND MEREDITH THOMPSON
1063,Ann Breen
1064,Stoneground
1065,Starclock
1066,darkness enshroud
1067,Scott Cannon
1068,Carolyn McDade-solo voice
1069,Robert Taylor
1070,Lonesome Taxi
1071,Music for Relaxation
1072,Chris Costa
1073,Michael Hammer
1074,Johnny Cook
1075,Ruth Fazal
1076,"Henry ""Red"" Allen"
1077,Rodeo Jones
1078,Yapree Howell & Space Bop Vanguard
1079,J.C. Rico
1080,Los Alegres De Teran
1081,Eddie Peregrina
1082,P-NUT
1083,Victoria Lynn Schultz
1084,Gammacide
1085,Ludwig van Beethoven
1086,Buchanan & Goodman
1087,Tom Kendzia
1088,Grace Griffith
1089,Joseph Woelfl
1090,Annie
1091,Rodion Shchedrin
1092,Downpour
1093,Premium
1094,M3
1095,Juan De La Cruz
1096,Flyleaf
1097,Sheryl Crow
1098,LOS AMAYA
1099,Don DeGrate & Strong Tower
1100,Alrune Rod
1101,The McGruders
1102,Frosty and Frank Jamie
1103,Tribeca
1104,Stephan W Beatty
1105,George Gershwin
1106,Christ Church Choir
1107,Camp Kirkland
1108,Puccini
1109,Snow 3-the Get Easy Christma
1110,Daniel Gregory Mason
1111,Jennifer Niceley
1112,Janet Jackson
1113,Years Around The Sun
1114,Digimusic
1115,Alison Krauss and Union Station
1116,Christopher Love
1117,Franck
1118,Ampop
1119,jonathon lee
1120,Gary Oliver
1121,Persephone's Bees
1122,Germaine Lubin
1123,Indecision
1124,Celeste Clydesdale
1125,Market Field
1126,Rhythm House
1127,Hodges Taylor
1128,Lea Salonga
1129,The Harry Night Orchestra
1130,Hector Berlioz
1131,Edouard Lalo
1132,John Marvin Goodwin
1133,Janeen Brady
1134,Sergey Rachmaninov
1135,740 Boyz
1136,Dali Automatic
1137,Jess Stacy
1138,Words and Music by Pat Arpaia
1139,Ben Human
1140,Pepe Cabrera con La Banda Sinaloense Santa Cruz
1141,Francois Borne
1142,Grandpa Jones
1143,Revoluxion
1144,Julaine Christensen
1145,The Porter Twin Disc Music Box
1146,Praise Magnificat
1147,The Violet Burning
1148,Glee Club
1149,RABID CRAB
1150,Worshipping Churches Calvary Chapel
1151,Jim Manley
1152,Crumbacher-Duke
1153,Marcos Vidal
1154,South Central Cartel
1155,SHOOTING HEMLOCK
1156,Nancy Rumbel
1157,Paulino Bernal Jr.
1158,Rockets
1159,Dimitri
1160,Pyotr Tchaikovsky
1161,Rupert Parker
1162,The Fit Factory
1163,Cannonball Adderley Quintet
1164,Fred Meyer
1165,Willem De Fesch
1166,John Chisum
1167,Steve Amerson
1168,Mark Watson Band
1169,Arlo Gilliam
1170,Shoji
1171,Rich Little
1172,Capital Regimen Band
1173,Shirley McNeal
1174,Grahame Bond
1175,Dion
1176,DICKEY LEE
1177,The Flamin' Hellcats
1178,Charles Gounod
1179,Ye Olde English
1180,Less Is More
1181,Franco Corelli
1182,Grace Seattle Experimental Orchestra
1183,Parallel
1184,Aqueduct
1185,John Bull
1186,Mendelssohn
1187,Sex Clark Five
1188,Anne Albritton (Piano)
1189,Joel Sayles
1190,Schubert
1191,Joe Beck
1192,J. S. Bach
1193,Nana Mouskouri
1194,desi slava
1195,Mickey & the HARTBEATS
1196,Arnold Mitchem
1197,DJ Krush
1198,The Payola Reserve
1199,PETER STORR
1200,The Dublin City Ramblers
1201,Marita Berg
1202,"Argo (Decca), London"
1203,Deadwater Drowning
1204,Reba McEntire
1205,Glen Phillips
1206,Jeanette MacDonald
1207,Deviants
1208,Walt Disney
1209,U.S. Bonds & the Church Street Five
1210,Gray Sky Girls
1211,Dave Clark Five
1212,Columbia
1213,Anthem Ave
1214,Chubb Rock
1215,Anne Murray
1216,Danny Byran
1217,UK Atrocity Tour
1218,PATTIE BROOKS
1219,Fiction
1220,M.O.P. & Friends FR. Richard Ho Lung
1221,Rabbit Manor
1222,Johnnie Taylor
1223,Salonisti
1224,Stephen Schwartz
1225,Grassroots
1226,Rick Bockner
1227,Christine Lakeland
1228,Corey vs Corey
1229,ost
1230,Mango Blue
1231,Roy Moller
1232,Gil Scott-Heron
1233,Marty Robbins
1234,Joni James
1235,Huto Winterhalter and his Orchestra
1236,Rachel Little
1237,Gorilla Warfare
1238,Shamen
1239,Glen Dias
1240,Margaret Rector
1241,ClearWater Ensemble
1242,Carl Cartee
1243,The Maranatha! Singers
1244,"The Drakes, The Mello-Harps, The Emeralds + more Various: The Four Kings"
1245,Bruce Broughton
1246,Hot
1247,Parber & Kerstein
1248,Azotic Reign
1249,"Schoenberg, Mozart, JS Bach Sweelinck"
1250,Cynthia Clawson
1251,Grant Lee Buffalo
1252,Roy Hamilton
1253,Bass Instinct
1254,Under the Influence of Giants
1255,Donnie Witt
1256,Fela Kuti
1257,Tavares
1258,Al Martino
