,PalabraClave,Recomendaciones
14,black,"[{'NombreProducto': 'YML Double Door Dog Kennel Cage with Plastic Tray No Bottom Wire, 36-Inch, Black', 'PrecioProducto': 39.66}, {'NombreProducto': 'Male Doggy Wrap Black - Small', 'PrecioProducto': nan}, {'NombreProducto': 'Gentle Leader Headcollar (Black, Small)', 'PrecioProducto': nan}, {'NombreProducto': 'Woodlink NATUBE4 Audubon Peanut Or Black Oil Seed Screen Feeder', 'PrecioProducto': 26.09}, {'NombreProducto': 'Flexi Comfort Belt 16-Feet Large Leash, 150-Pound, Blue/Black', 'PrecioProducto': nan}]"
15,blue,"[{'NombreProducto': 'LED Dog Collar By TOPAZ &amp; ABBIE&copy; - USB Charge - LED Dog Collars, USB Rechargable - 3 Colors &amp; 4 Sizes- Halo Light &amp; Flash Settings - Dog Collar - Blue, Green, Pink', 'PrecioProducto': 37.99}, {'NombreProducto': 'Soggy Dog Towel, Large Brown and Blue', 'PrecioProducto': nan}, {'NombreProducto': 'Prevue Hendryx SP1820-5 Pagoda Cockatiel Cage, Blue and White', 'PrecioProducto': nan}, {'NombreProducto': 'Flexi Comfort Belt 16-Feet Large Leash, 150-Pound, Blue/Black', 'PrecioProducto': nan}, {'NombreProducto': 'Slumber Pet Cloud Cushion - Blue', 'PrecioProducto': 19.95}]"
16,puppy,"[{'NombreProducto': 'Nutrisource Large Breed Puppy Chicken &amp;Amp; Rice Formula Dry Dog Food, 6.6-Lb Bag', 'PrecioProducto': 17.89}, {'NombreProducto': 'Flexible Puppy Chew - Large', 'PrecioProducto': nan}, {'NombreProducto': 'MidWest Puppy Playpen Floor Grids &amp; Replacement Trays for Puppy Playpen Dog Crates', 'PrecioProducto': 34.19}, {'NombreProducto': 'Wee-Wee Puppy Pee Pads for Larger or Multiple Dogs - Oversized Pads', 'PrecioProducto': 5.37}, {'NombreProducto': 'Happy Puppy Designer Dog Apparel - Striped Red Sailor Dress - Color: Red, Size: M', 'PrecioProducto': nan}]"
17,pets,"[{'NombreProducto': 'PetSafe Wild Thangs! Fox Dog Toy', 'PrecioProducto': nan}, {'NombreProducto': 'Ethical Pets Rainbow Crinkler Tennis Ball Tug, 13-Inch', 'PrecioProducto': nan}, {'NombreProducto': 'Coastal Pet Products DCP510GRN Cotton Web Collar Lead for Pets, 5/8 by 10-Feet, Green', 'PrecioProducto': 1.96}, {'NombreProducto': 'Loving Pets Premium Natural Compressed Rawhide Stick Dog Chew', 'PrecioProducto': 7.99}, {'NombreProducto': 'Hikari 11-Pound Spirulina Floating Pellets for Pets, Large', 'PrecioProducto': 111.99}]"
18,leash,"[{'NombreProducto': 'Hands Free Dog Leash with Waist Wearing - Double Handle Reflective Bungee Leash with Adjustable Waist Belt &ndash; Perfect for Running, Jogging or Walking - Ideal for Medium to Large Dogs', 'PrecioProducto': 1.96}, {'NombreProducto': ""NFL Houston Texans 6' Red Dog Leash (Large)"", 'PrecioProducto': nan}, {'NombreProducto': 'Flexi Comfort Belt 16-Feet Large Leash, 150-Pound, Blue/Black', 'PrecioProducto': nan}, {'NombreProducto': 'North American Rescue Scissor Leash', 'PrecioProducto': 21.66}, {'NombreProducto': 'Perris Leathers Officially Licensed Polyester Leash with Hi-res Imaging, Skulls with Bones and Wings', 'PrecioProducto': 3.78}]"
19,bed,"[{'NombreProducto': 'Eloise Pet Oceanburst Dog Bed, Large', 'PrecioProducto': nan}, {'NombreProducto': 'Kreature Komfort Avar Kilim Carpet Bed 24 X 36', 'PrecioProducto': nan}, {'NombreProducto': 'Ultimate Dog Bed for Large Dogs - 34&quot; X 54&quot;', 'PrecioProducto': nan}, {'NombreProducto': 'Slumber Pet Velvet Terry Crate Dog Bed, X-Large, Nectarine', 'PrecioProducto': nan}, {'NombreProducto': 'Cooling Dog Bed Cover Fitted Sheet in Cappuccino', 'PrecioProducto': nan}]"
20,size,"[{'NombreProducto': 'LED Dog Collar By TOPAZ &amp; ABBIE&copy; - USB Charge - LED Dog Collars, USB Rechargable - 3 Colors &amp; 4 Sizes- Halo Light &amp; Flash Settings - Dog Collar - Blue, Green, Pink', 'PrecioProducto': 37.99}, {'NombreProducto': 'Millers Forge Original Snap-On Clipper Comb, Size-2, 3/8-Inch Cut', 'PrecioProducto': 10.99}, {'NombreProducto': 'Polly s Pet Products 519-50393 Pollys Pet Products Manu Mineral Bird Perch Size XLarge 12in', 'PrecioProducto': nan}, {'NombreProducto': 'Outward Hound Deluxe Pet Car Booster Seat : Size ORDER THIS ITEM', 'PrecioProducto': nan}, {'NombreProducto': 'Guardian Gear Nylon Adjustable Dog Collar with Plastic Buckles, 3/4-Inch, Black, Size Medium', 'PrecioProducto': nan}]"
21,natural,"[{'NombreProducto': 'Zoo Med Laboratories SZMBU16 Natural Bushy Cannabis, Small', 'PrecioProducto': 6.6}, {'NombreProducto': 'Loving Pets Premium Natural Compressed Rawhide Stick Dog Chew', 'PrecioProducto': 7.99}, {'NombreProducto': 'Worldwide Imports AWW30131 Natural Gravel, 25-Pound, Raven,', 'PrecioProducto': nan}, {'NombreProducto': 'Wellness Pure Rewards All-Natural Delicious Venison Jerky Bits Dog Treats  (Pack of 3)', 'PrecioProducto': nan}, {'NombreProducto': 'PetAlive Natural Moves for Pet Regular Healthy Bowels (60 Caps)', 'PrecioProducto': 20.0}]"
22,harness,"[{'NombreProducto': 'Vo-Toys Anti-Jump Harness For Dogs', 'PrecioProducto': nan}, {'NombreProducto': ' Puppia Vest Dog Harness Red Small ', 'PrecioProducto': nan}, {'NombreProducto': 'Light Blue Reflective Mesh Sports Harness for Dogs - Size Medium', 'PrecioProducto': nan}, {'NombreProducto': 'Lupine 1/2&quot; Blue Roman Dog Harness', 'PrecioProducto': 14.99}, {'NombreProducto': 'Lazer Brite Reflective Comfort Wrap Adjustable Harness, 1&quot;', 'PrecioProducto': nan}]"
23,red,"[{'NombreProducto': '130Rsm Boots Wtrproof Red Sm', 'PrecioProducto': nan}, {'NombreProducto': ""SynergyLabs Richard's Organics Incredible Skin Spray For Dogs, 16 oz"", 'PrecioProducto': nan}, {'NombreProducto': 'Petmate Reflective Paw Breakaway Collar, 3/8-Inch, Red', 'PrecioProducto': 7.36}, {'NombreProducto': ""NFL Houston Texans 6' Red Dog Leash (Large)"", 'PrecioProducto': nan}, {'NombreProducto': 'X-LARGE - RED - Soft, Colorful Dog Sweatshirt', 'PrecioProducto': nan}]"
24,cats,"[{'NombreProducto': 'Solid Gold Blended Tuna Gourmet Canned Food for Cats', 'PrecioProducto': nan}, {'NombreProducto': 'Beefeaters Freeze Dried Salmon Treats for Cats, 2oz', 'PrecioProducto': nan}, {'NombreProducto': 'Sebolux Shampoo for Dogs &amp; Cats, 15.5oz', 'PrecioProducto': nan}, {'NombreProducto': 'Safari Pet Products CSFW629G Single Blade Shedder for Cats', 'PrecioProducto': 7.29}, {'NombreProducto': 'JLA Pets Pet Rug and Diner Mat for Cats, 20 by 32-Inch, 3 Cats', 'PrecioProducto': nan}]"
25,treats,"[{'NombreProducto': 'Treatstik Large Meal and Treat Dispensing Dog Toy', 'PrecioProducto': 34.95}, {'NombreProducto': 'Pounce Cat Treats Moist Tuna Flavor', 'PrecioProducto': 10.98}, {'NombreProducto': 'Beefeaters Freeze Dried Salmon Treats for Cats, 2oz', 'PrecioProducto': nan}, {'NombreProducto': 'Wellness Pure Rewards All-Natural Delicious Venison Jerky Bits Dog Treats  (Pack of 3)', 'PrecioProducto': nan}, {'NombreProducto': 'Treatstik Small Blue Meal And Treat Dispensing Dog Toy', 'PrecioProducto': nan}]"
26,pink,"[{'NombreProducto': 'LED Dog Collar By TOPAZ &amp; ABBIE&copy; - USB Charge - LED Dog Collars, USB Rechargable - 3 Colors &amp; 4 Sizes- Halo Light &amp; Flash Settings - Dog Collar - Blue, Green, Pink', 'PrecioProducto': 37.99}, {'NombreProducto': 'Doggles X-Small K9 Optix Sunglasses for Dogs, Silver Frame, Pink Lens', 'PrecioProducto': nan}, {'NombreProducto': 'East Side Collection 3/8-Inch Nylon Glitz Cat Collar, Pink', 'PrecioProducto': nan}, {'NombreProducto': 'Petmate Signature Series 1-Inch by 18-26-Inch Adjustable Collar, Light Pink', 'PrecioProducto': nan}, {'NombreProducto': 'Hamilton 836 HP 5/16-Inch by 4-Foot Round Braided Nylon Dog Lead with Swivel Snap, Hot Pink', 'PrecioProducto': 9.71}]"
27,soft,"[{'NombreProducto': ""Doc Roy's ACHES AWAY STAGE I, Soft Chews, 120ct"", 'PrecioProducto': nan}, {'NombreProducto': 'Cetacea Soft Martingale Collar with Quick Release, Large, Blue', 'PrecioProducto': 12.59}, {'NombreProducto': 'X-LARGE - RED - Soft, Colorful Dog Sweatshirt', 'PrecioProducto': nan}, {'NombreProducto': 'Bowsers Super Soft Round, Large, Urban Animal', 'PrecioProducto': 139.99}, {'NombreProducto': ' Carl Dick German Shepherd Dog Sitting 6.5 inches, 19cm, Plush Toy, Soft Toy, Stuffed Animal 2408004', 'PrecioProducto': nan}]"
28,fish,"[{'NombreProducto': 'ZiwiPeak Good-Dog Jerky - Fish &amp; Venison - 3 oz', 'PrecioProducto': nan}, {'NombreProducto': 'Perfecto Manufacturing APF97009 Marineland Fish Aquarium with 1 Extra High Corner-Flo 150-Gallon Tank, 48-Inch, Black', 'PrecioProducto': nan}, {'NombreProducto': ' Exotic Environments Piranha Fish Cave Aquarium Ornament, 4-Inch by 2-Inch by 2-1/2-Inch ', 'PrecioProducto': 20.99}, {'NombreProducto': 'Tetra River Shrimp Fish Food Treat', 'PrecioProducto': 5.01}, {'NombreProducto': ""Imperial Cat Fish Bone Scratch 'n Shape, Pink and Brown"", 'PrecioProducto': 15.3}]"
29,products,"[{'NombreProducto': 'Coastal Pet Products DCP510GRN Cotton Web Collar Lead for Pets, 5/8 by 10-Feet, Green', 'PrecioProducto': 1.96}, {'NombreProducto': 'Polly s Pet Products 519-50393 Pollys Pet Products Manu Mineral Bird Perch Size XLarge 12in', 'PrecioProducto': nan}, {'NombreProducto': 'K&amp;H Pet Products Lectro-Temp Control', 'PrecioProducto': 24.99}, {'NombreProducto': 'Classic Pet Products 1/2 Pint Non Tip Stainless Steel Dog Bowl', 'PrecioProducto': 8.72}, {'NombreProducto': 'Charming Pet Products Tator the Gator Squeaky Latex Dog Toy', 'PrecioProducto': nan}]"
30,leather,"[{'NombreProducto': 'Coastal Pet Circle T Nickel Buckle Latigo Leather Round Dog Collar, Handcrafted', 'PrecioProducto': nan}, {'NombreProducto': 'Remington Dog Collar 1&quot; Leather Split Ring 22&quot;', 'PrecioProducto': nan}, {'NombreProducto': 'OmniPet Signature Leather Dog Collar with Bone Ornaments', 'PrecioProducto': 11.99}, {'NombreProducto': 'Perris Leathers Officially Licensed Polyester Leash with Hi-res Imaging, Skulls with Bones and Wings', 'PrecioProducto': 3.78}, {'NombreProducto': 'Hennessy Large Leather Dog Collar, Tan', 'PrecioProducto': nan}]"
31,training,"[{'NombreProducto': ""Nature's Miracle Best Behavior Pet Training Aid - 16 oz"", 'PrecioProducto': nan}, {'NombreProducto': 'LUXMO LUXURY MOBILE Electronic Anti-Bark Dog Training Shock Collar', 'PrecioProducto': nan}, {'NombreProducto': 'No Bark Collar***Terminator Sonic &amp; Shock Progressive Training Collar', 'PrecioProducto': nan}, {'NombreProducto': 'Double Dog Coupler &ndash; Fully Adjustable Strong Nylon Webbing, Dual Dog Training Leash Coupler for Two Dogs, Dog Lead Splitter Walker by Sporn', 'PrecioProducto': 13.81}, {'NombreProducto': 'JANNIK Barking Control Collar for Dogs - Humane Stop Barking Training Collar - Vibration and Sound - No Shock Collar - Safe for Dogs and Human with Water Resistance.', 'PrecioProducto': 4.0}]"
32,adjustable,"[{'NombreProducto': 'Hands Free Dog Leash with Waist Wearing - Double Handle Reflective Bungee Leash with Adjustable Waist Belt &ndash; Perfect for Running, Jogging or Walking - Ideal for Medium to Large Dogs', 'PrecioProducto': 1.96}, {'NombreProducto': 'Wahl Professional Animal #40-30 Surgical Blade for Standard Adjustable Blade Clippers #1026-400', 'PrecioProducto': 25.56}, {'NombreProducto': 'LupinePet 1/2"" Atlantis Adjustable Dog Collar for Small Dogs, 6-9""', 'PrecioProducto': nan}, {'NombreProducto': 'Guardian Gear Nylon Adjustable Dog Collar with Plastic Buckles, 3/4-Inch, Black, Size Medium', 'PrecioProducto': nan}, {'NombreProducto': 'Petmate Signature Series 1-Inch by 18-26-Inch Adjustable Collar, Light Pink', 'PrecioProducto': nan}]"
33,chicken,"[{'NombreProducto': 'Nutrisource Large Breed Puppy Chicken &amp;Amp; Rice Formula Dry Dog Food, 6.6-Lb Bag', 'PrecioProducto': 17.89}, {'NombreProducto': 'WholeMeals Small Dog Formula Savory Chicken and Vegetables Flavor 7 Meal Bars', 'PrecioProducto': nan}, {'NombreProducto': 'Senior Tender Cuts Chicken and Tuna Wet Cat Food (5.5-oz can, case of 24)', 'PrecioProducto': nan}, {'NombreProducto': 'Nylabone Healthy Edible Bone, Chicken Flavored With Vitamins, Petite, 8 Count Pouch', 'PrecioProducto': 17.75}, {'NombreProducto': 'Vitality Chicken Banana Treats 5 Ounces', 'PrecioProducto': nan}]"
34,bag,"[{'NombreProducto': 'Evolution Cat Food 5lb Bag', 'PrecioProducto': 24.5}, {'NombreProducto': 'Nutrisource Large Breed Puppy Chicken &amp;Amp; Rice Formula Dry Dog Food, 6.6-Lb Bag', 'PrecioProducto': 17.89}, {'NombreProducto': 'Lyric Delite High Protein No Waste Mix Bird Food - 20 lb. bag', 'PrecioProducto': 39.99}, {'NombreProducto': 'Tropican 1-1/2-Pound High Performance Parrot Biscuits, Standup Zip Bag', 'PrecioProducto': nan}, {'NombreProducto': 'Spectrastone Special Light Blue Aquarium Gravel for Freshwater Aquariums, 25-Pound Bag', 'PrecioProducto': 26.91}]"
35,water,"[{'NombreProducto': 'Edstrom Automatic Water System Pet Kit', 'PrecioProducto': 38.0}, {'NombreProducto': 'Laguna PowerPump Solids Handling Waterfall Pump', 'PrecioProducto': nan}, {'NombreProducto': 'Algone Aquarium Water Clarifier and Nitrate Remover, 6 filter pouches', 'PrecioProducto': 12.25}, {'NombreProducto': 'Super Bird Creations 30 by 11-Inch Water Spout Bird Toy, X-Large', 'PrecioProducto': nan}, {'NombreProducto': 'Spectrastone Special Light Blue Aquarium Gravel for Freshwater Aquariums, 25-Pound Bag', 'PrecioProducto': 26.91}]"
36,clothes,"[{'NombreProducto': 'Pet Clothes&nbsp;SPOILED BUT HUMBLE&nbsp;Dog T-Shirt&nbsp;-&nbsp;Small', 'PrecioProducto': nan}, {'NombreProducto': 'Pet Dog Puppy Winter Clothes Jumpsuit Bear Warm Fleece Hoodie Hooded Coat,Asian size', 'PrecioProducto': nan}, {'NombreProducto': 'Hunter Mfg Chicago Cubs Dog Tee Shirt / Clothes - Extra Large', 'PrecioProducto': nan}, {'NombreProducto': 'Blue Summer Tee T shirt small dogs clothes costume - anchor (Small (Chest13&quot;Back9.5&quot;))', 'PrecioProducto': nan}, {'NombreProducto': 'Fitwarm Sweetie Heart Pink Pet Dog T-shirts Tank Shirts Vest Cotton Clothes Apparel', 'PrecioProducto': nan}]"
37,tag,"[{'NombreProducto': ""Doc Roy's ACHES AWAY STAGE I, Soft Chews, 120ct"", 'PrecioProducto': nan}, {'NombreProducto': 'Richell Pet Cottage, Medium, Tan/Brown', 'PrecioProducto': nan}, {'NombreProducto': 'Dog Tag Art Custom Pet ID Tag for Dogs - iPood - Large - 1.25 inch', 'PrecioProducto': 12.99}, {'NombreProducto': '56&quot; Octagon Mesh Screen Portable Pet Dog Pen', 'PrecioProducto': nan}, {'NombreProducto': 'Karate Taekwondo 5 Tenets Courtesy Integrity - Military Dog Tag Luggage Keychain', 'PrecioProducto': 9.99}]"
38,green,"[{'NombreProducto': 'LED Dog Collar By TOPAZ &amp; ABBIE&copy; - USB Charge - LED Dog Collars, USB Rechargable - 3 Colors &amp; 4 Sizes- Halo Light &amp; Flash Settings - Dog Collar - Blue, Green, Pink', 'PrecioProducto': 37.99}, {'NombreProducto': 'Coastal Pet Products DCP510GRN Cotton Web Collar Lead for Pets, 5/8 by 10-Feet, Green', 'PrecioProducto': 1.96}, {'NombreProducto': 'Greenies 3 PACK REGULAR (36 BONES)', 'PrecioProducto': 49.95}, {'NombreProducto': ' Fancy Feast Elegant Medleys Yellowfin Tuna Primavera With Garden Veggies And Greens (24/3-oz cans) ', 'PrecioProducto': nan}, {'NombreProducto': 'Dirty&amp;Hairy OUTDOOR Shampoo Green Tea &amp; Lime - 16oz', 'PrecioProducto': nan}]"
39,bird,"[{'NombreProducto': 'Polly s Pet Products 519-50393 Pollys Pet Products Manu Mineral Bird Perch Size XLarge 12in', 'PrecioProducto': nan}, {'NombreProducto': 'Oakland Living Frog Bird Bath', 'PrecioProducto': 109.99}, {'NombreProducto': 'Lyric Delite High Protein No Waste Mix Bird Food - 20 lb. bag', 'PrecioProducto': 39.99}, {'NombreProducto': 'Super Bird Creations 30 by 11-Inch Water Spout Bird Toy, X-Large', 'PrecioProducto': nan}, {'NombreProducto': ""Nature's Instinct Rythemwise Silly Saucer Small for Parakeets, Cockatiels, and Similar Birds"", 'PrecioProducto': 9.74}]"
40,tank,"[{'NombreProducto': 'Perfecto Manufacturing APF97009 Marineland Fish Aquarium with 1 Extra High Corner-Flo 150-Gallon Tank, 48-Inch, Black', 'PrecioProducto': nan}, {'NombreProducto': 'Doggie Tank Top, Mac Daddy', 'PrecioProducto': 18.99}, {'NombreProducto': 'Hot Sale High Quality Fish Sea Grass Plant Weed Tank Aquarium Pond Protein Skimmer Filter Pump 530 GPH', 'PrecioProducto': nan}, {'NombreProducto': 'ESC Peace Out Pet - Tank Shirt - Bluebird', 'PrecioProducto': 7.18}, {'NombreProducto': 'TunaTreats - Gourmet Dried Bonito Flakes (1 Pack - 1 oz) by CitiKitty (As Seen on Shark Tank)', 'PrecioProducto': 7.99}]"
41,free,"[{'NombreProducto': 'Hands Free Dog Leash with Waist Wearing - Double Handle Reflective Bungee Leash with Adjustable Waist Belt &ndash; Perfect for Running, Jogging or Walking - Ideal for Medium to Large Dogs', 'PrecioProducto': 1.96}, {'NombreProducto': 'Calm &amp; Relax by Carefree Pet', 'PrecioProducto': 19.25}, {'NombreProducto': ""Fluker's 1 oz Freeze Dried River Shrimp"", 'PrecioProducto': 14.49}, {'NombreProducto': 'Beefeaters Freeze Dried Salmon Treats for Cats, 2oz', 'PrecioProducto': nan}, {'NombreProducto': '6&quot; Free Range Bully Sticks Select 50 pieces', 'PrecioProducto': nan}]"
