,PalabraClave,Recomendaciones
40,all,"[{'NombreProducto': 'Finally', 'PrecioProducto': 4.98}, {'NombreProducto': '100 Million Eyeballs', 'PrecioProducto': 1.46}, {'NombreProducto': 'The Way of All Things CD', 'PrecioProducto': 4.98}, {'NombreProducto': ""K.O.'s feat. Michael Buffer - Go For It All! - Mercury - 578 219-2"", 'PrecioProducto': 6.36}, {'NombreProducto': 'All My Life', 'PrecioProducto': 19.93}]"
41,one,"[{'NombreProducto': 'Songs of the Kansas Pioneers Home on the Range', 'PrecioProducto': 25.0}, {'NombreProducto': 'Space Age Honeymoon', 'PrecioProducto': 2.31}, {'NombreProducto': 'Lanctones', 'PrecioProducto': 3.33}, {'NombreProducto': 'Alone', 'PrecioProducto': 9.46}, {'NombreProducto': 'Archive one', 'PrecioProducto': 12.38}]"
42,more,"[{'NombreProducto': 'Hay Amores... Y Amores', 'PrecioProducto': nan}, {'NombreProducto': ""[4 CDs / 80 SONGS OF THE 60s] &quot;Wow That Was The 60s&quot; Humble Pie, Fleetwood Mac, Herman's Hermits, Canned Heat, The Animals, Rod Stewart, The Beach Boys, &amp; Many Many More..."", 'PrecioProducto': nan}, {'NombreProducto': 'More Exciting Stories for Children By Ethel Barrett [LP Record]', 'PrecioProducto': 16.62}, {'NombreProducto': 'The Black Crowes - Live At the Fillmore 8.9.05 - Instant Live', 'PrecioProducto': nan}, {'NombreProducto': 'More Hit Sounds Of The Lettermen! (LP Vinyl Record)', 'PrecioProducto': 7.99}]"
43,life,"[{'NombreProducto': 'All My Life', 'PrecioProducto': 19.93}, {'NombreProducto': '1977: Sounds of the Seventies Time Life Audio', 'PrecioProducto': 18.5}, {'NombreProducto': 'Lifescapes: Work Out', 'PrecioProducto': 14.58}, {'NombreProducto': 'Lifescapes:Calming Sea', 'PrecioProducto': 9.74}, {'NombreProducto': 'HERES TO LIFE [AUDIO CD] MUSIC', 'PrecioProducto': 24.24}]"
44,greatest,"[{'NombreProducto': 'NENA DIE BAND (GREATEST HITS)', 'PrecioProducto': 47.3}, {'NombreProducto': 'SONG REVIEW: A GREATEST HITS COLLECTION(reissue)', 'PrecioProducto': 11.3}, {'NombreProducto': '1982 James Bond Greatest Hits Made in France', 'PrecioProducto': nan}, {'NombreProducto': ""Bobby Goldsboro's Greatest Hits"", 'PrecioProducto': 2.99}, {'NombreProducto': 'Anne Murray: 36 Greatest Hits', 'PrecioProducto': 27.39}]"
45,jazz,"[{'NombreProducto': 'Jazz goes to college (1954) : Dave Brubeck', 'PrecioProducto': nan}, {'NombreProducto': 'Planet Jazz', 'PrecioProducto': 1.73}, {'NombreProducto': 'Australian Jazz Quintet +1', 'PrecioProducto': nan}, {'NombreProducto': 'JAZZ IN THE HOUSE 12', 'PrecioProducto': 19.95}, {'NombreProducto': 'jazziz LP', 'PrecioProducto': 7.49}]"
46,records,"[{'NombreProducto': 'Lavine Hudson - Between Two Worlds - 10 Records - DIXCD 103', 'PrecioProducto': 1.74}, {'NombreProducto': 'Mystic - La Ola - Pump Records - 9070057', 'PrecioProducto': 1.94}, {'NombreProducto': ""'Til the Bars Burn Down, Johnny Lee (Records Lp)"", 'PrecioProducto': 7.4}, {'NombreProducto': 'The Ink Spots,Either It&#39;s Love or It&#39;s Not / I Get the Blues When It Rains,Decca Records"" />', 'PrecioProducto': 14.99}, {'NombreProducto': 'Los Indios Tabajaras,The Classical Guitars of Los Indios Tabajaras (1974 RCA CPL1-0668 Stereo),RCA Records"" />', 'PrecioProducto': 3.68}]"
47,world,"[{'NombreProducto': 'Joy to the World', 'PrecioProducto': 13.17}, {'NombreProducto': 'Lavine Hudson - Between Two Worlds - 10 Records - DIXCD 103', 'PrecioProducto': 1.74}, {'NombreProducto': 'Sanctissima: A Musical Mass for World Peace', 'PrecioProducto': 12.02}, {'NombreProducto': 'Songs of World War II', 'PrecioProducto': 15.8}, {'NombreProducto': ""Modern Rock / 10 of Modern Rock's Best (Molly(16 Candles), Weird Out, We're the Same, Lump, Deep As You Go, the Big Burn, Hope, Walk This World, Jump in the Water, Blind)"", 'PrecioProducto': 4.97}]"
48,japan,"[{'NombreProducto': 'Live &amp; on Fire in Japan', 'PrecioProducto': 132.8}, {'NombreProducto': 'Arch Rival; in the Face of Danger +1 [Japan Import]', 'PrecioProducto': 98.99}, {'NombreProducto': 'Big in Japan Us 12&quot;', 'PrecioProducto': nan}, {'NombreProducto': 'KANA NISHINO,MOTTO...,SONY MUSIC ENTERTAINMENT JAPAN"" />', 'PrecioProducto': 13.13}, {'NombreProducto': 'SHEENA &amp; THE ROKKETS,Japanik,JVC JAPAN"" />', 'PrecioProducto': nan}]"
49,band,"[{'NombreProducto': 'Last Band Standing', 'PrecioProducto': nan}, {'NombreProducto': 'NENA DIE BAND (GREATEST HITS)', 'PrecioProducto': 47.3}, {'NombreProducto': 'Big Bands Jimmy Dorsey', 'PrecioProducto': nan}, {'NombreProducto': ""Time-life Dick Clark's American Bandstand Vol.1 Best of the Spotlight Dancers"", 'PrecioProducto': 14.75}, {'NombreProducto': 'The Bill Perry Band,Live at Manny&#39;s Car Wash,753498628"" />', 'PrecioProducto': 39.99}]"
50,import,"[{'NombreProducto': 'Flans La Trayectoria 20 Videos Entrevistas ,Biografia,fotos Letras De Canciones.[import]', 'PrecioProducto': nan}, {'NombreProducto': 'Arch Rival; in the Face of Danger +1 [Japan Import]', 'PrecioProducto': 98.99}, {'NombreProducto': ""What's Important (And What's Not)"", 'PrecioProducto': 5.92}, {'NombreProducto': 'Vol. 1(import)', 'PrecioProducto': nan}, {'NombreProducto': 'Franck Pourcel /Cantando En La Lluvia [Import]', 'PrecioProducto': nan}]"
51,rock,"[{'NombreProducto': 'Bird Songs of the Rocky Mountain States and Provinces', 'PrecioProducto': nan}, {'NombreProducto': ""I Hate Rock 'N' Roll + 3"", 'PrecioProducto': 3.99}, {'NombreProducto': 'On the Rocks Plus 1 Bonus Track', 'PrecioProducto': 24.0}, {'NombreProducto': 'Goodbye, Little Rock and Roller', 'PrecioProducto': nan}, {'NombreProducto': 'rock of the seventies (3-cd set)', 'PrecioProducto': 2.48}]"
52,orchestra,"[{'NombreProducto': 'Empty Orchestra', 'PrecioProducto': nan}, {'NombreProducto': 'Arthur Fiedler: Orchestral Showpieces', 'PrecioProducto': 4.75}, {'NombreProducto': 'Brahms: Symphonie Nr 3 F-dur, Op.90, Tragische Ouverture Op. 81, Cleveland Orchestra, Christoph Von Dohnanyi', 'PrecioProducto': 2.43}, {'NombreProducto': 'The London Symphony Orchestra Presents Images of Love, Volume 4', 'PrecioProducto': 5.79}, {'NombreProducto': 'Rusty in Orchestraville, the Instruments Talk-Rusty Plays (Original 78 set)', 'PrecioProducto': nan}]"
53,tracks,"[{'NombreProducto': 'SAD CAPER -5 TRACKS EP', 'PrecioProducto': 5.13}, {'NombreProducto': 'BOBBY SHERMAN What Came Before/Just for You (33 tracks)', 'PrecioProducto': nan}, {'NombreProducto': 'Fresh Tracks', 'PrecioProducto': 28.88}, {'NombreProducto': ""Funky Tracks 80s (CD Compilation, 38 Tracks, Various Artists) mary jane girls - all night long / patrice rushen - forget me nots / fat larry's band - act like you know / howard johnson - so fine / keni burke - rising to the top / mac band - roses are red etc.."", 'PrecioProducto': 29.99}, {'NombreProducto': ""incl. I Don't Wanna Dance (CD Album Eddy Grant, 16 Tracks)"", 'PrecioProducto': 20.99}]"
54,...,"[{'NombreProducto': 'Reject Me...First', 'PrecioProducto': 25.0}, {'NombreProducto': 'Hay Amores... Y Amores', 'PrecioProducto': nan}, {'NombreProducto': ""[4 CDs / 80 SONGS OF THE 60s] &quot;Wow That Was The 60s&quot; Humble Pie, Fleetwood Mac, Herman's Hermits, Canned Heat, The Animals, Rod Stewart, The Beach Boys, &amp; Many Many More..."", 'PrecioProducto': nan}, {'NombreProducto': ""Can't Find My Way Home ... Blind Faith"", 'PrecioProducto': nan}, {'NombreProducto': '...Anywhere but Here', 'PrecioProducto': 3.88}]"
55,great,"[{'NombreProducto': 'Great Moments With', 'PrecioProducto': 4.98}, {'NombreProducto': '20 Irish Greats', 'PrecioProducto': 13.52}, {'NombreProducto': 'NENA DIE BAND (GREATEST HITS)', 'PrecioProducto': 47.3}, {'NombreProducto': 'SONG REVIEW: A GREATEST HITS COLLECTION(reissue)', 'PrecioProducto': 11.3}, {'NombreProducto': ""Reader's Digest: Great Romantic Piano Favorites"", 'PrecioProducto': 13.75}]"
