,PalabraClave,Recomendaciones
10,skin,"[{'NombreProducto': ""Moleskine Payne's Grey Card Wallet (Moleskine Non-Paper)"", 'PrecioProducto': nan}, {'NombreProducto': 'Nutrition Supply - Nsc-24 Immuskin, 2 oz cream', 'PrecioProducto': 29.95}, {'NombreProducto': 'GamARde Nutrition Intense Gentle Mask (Dry to very dry skins) 1.4oz, 40g', 'PrecioProducto': nan}, {'NombreProducto': 'Lacto Calamine Skin Balance Oil control 120 ml. (Pack of 2)', 'PrecioProducto': 12.15}, {'NombreProducto': 'Mary Kay Age Fighting Moisturizer (Combination/Oily) Skin', 'PrecioProducto': 22.5}]"
11,color,"[{'NombreProducto': 'Joico ICE Hair Spiker Colorz Metallix Bling Bling Gold 1.69 fl. oz. (50 ml)', 'PrecioProducto': 15.01}, {'NombreProducto': 'Oster Teqie Clipper/trimmer in Atomic Kiwi Color', 'PrecioProducto': nan}, {'NombreProducto': 'BLACK DIAMOND 100% REMI HUMAN HAIR NATURAL PERM 18&quot;(Solid Color)', 'PrecioProducto': 19.42}, {'NombreProducto': 'Color Me Beautiful Mint Color Adjuster 1 Fl Oz', 'PrecioProducto': nan}, {'NombreProducto': 'Fantasia Color Glosser Natural Highlights 5oz (Blondes)', 'PrecioProducto': nan}]"
12,cream,"[{'NombreProducto': 'Protective Day Cream with Cynergy TK Keratin by Pure Source', 'PrecioProducto': nan}, {'NombreProducto': 'Nutrition Supply - Nsc-24 Immuskin, 2 oz cream', 'PrecioProducto': 29.95}, {'NombreProducto': 'Kate Somerville Deep Tissue Repair Cream with Peptide K8 - Anti-Aging Wrinkle Treatment (1 Fl. Oz.)', 'PrecioProducto': 150.0}, {'NombreProducto': 'Bath &amp; Body Works CO Bigelow Variety Travel Gift Box including Mentha Body Wash, Lemon Body Cream, Quince Hand Lotion, Soap Free Hand Cleanser, Mentha Lip Shine, and a $5 Gift Card!', 'PrecioProducto': nan}, {'NombreProducto': 'CoverGirl Clean Clean Fragrance Free Foundation, Creamy Natural 220 1 fl oz (30 ml)', 'PrecioProducto': nan}]"
13,makeup,"[{'NombreProducto': 'KIEHLS ORIGINAL MUSK EDT SPRAY 3.4 OZ UNBOXEDUNISEX Genuine Brand Professional Makeup Result', 'PrecioProducto': nan}, {'NombreProducto': 'Almay Moisturizing Eye Makeup Remover Pads, 80-Pads (Pack of 4)', 'PrecioProducto': nan}, {'NombreProducto': 'Sonage Hydrating Rinse - Alcohol Free Hydrating Toner with Rose Water, Ginseng and Aloe Vera - Refresh and Energize Dull Complexion - Brighten Normal to Dry Skin, Sets Makeup', 'PrecioProducto': nan}, {'NombreProducto': 'Lockable Makeup Cosmetic Aluminum Storage Case Box W Tiers', 'PrecioProducto': nan}, {'NombreProducto': 'M.S New 32 PCS Cosmetic Makeup Brush Set Kit With Case Ideal For Both Professionals and Beginners', 'PrecioProducto': nan}]"
14,natural,"[{'NombreProducto': 'Natural Sensitive Care Black Currant Toothpaste 4oz 4 Ounces', 'PrecioProducto': nan}, {'NombreProducto': 'BLACK DIAMOND 100% REMI HUMAN HAIR NATURAL PERM 18&quot;(Solid Color)', 'PrecioProducto': 19.42}, {'NombreProducto': 'Avalon Natural Products - Lavender Hand &amp; Body Lotion, 12 fl oz lotion', 'PrecioProducto': nan}, {'NombreProducto': 'Fantasia Color Glosser Natural Highlights 5oz (Blondes)', 'PrecioProducto': nan}, {'NombreProducto': 'Suave Naturals Body Wash, Citrus &amp; Ginseng - 12oz.', 'PrecioProducto': nan}]"
15,gel,"[{'NombreProducto': 'The Gillette Series Shave Gel, Deep Clean, 7-Ounce Bottle (Pack of 6)', 'PrecioProducto': nan}, {'NombreProducto': 'La Rochelle One-step Express Cleaning Gel-130ml', 'PrecioProducto': nan}, {'NombreProducto': 'GATZBY Styling Gel Super Hard 60g', 'PrecioProducto': 20.98}, {'NombreProducto': 'Kevin Murphy Angel Rinse 33.6 oz', 'PrecioProducto': nan}, {'NombreProducto': 'Breath Care Mint 50 softgels (1)', 'PrecioProducto': 7.99}]"
16,brush,"[{'NombreProducto': 'Oral-B Interdental Toothbrush Starter Kit 3 Snap- Lock Heads 1 Handle', 'PrecioProducto': nan}, {'NombreProducto': 'Opalescence Smilebrush Pink Single', 'PrecioProducto': nan}, {'NombreProducto': 'Conair Interplak 12207 Personal Toothbrush', 'PrecioProducto': nan}, {'NombreProducto': 'Cybersonic Replacement Combo Brushes for Cybersonic 3, 2 pack', 'PrecioProducto': nan}, {'NombreProducto': 'SEPHORA COLLECTION Classic Retractable Travel Powder Brush #51', 'PrecioProducto': nan}]"
17,lip,"[{'NombreProducto': 'Jordana Matte Lipstick 18 Cafe', 'PrecioProducto': 9.99}, {'NombreProducto': 'Coconut Lips- 1 Pack (3 Masks)', 'PrecioProducto': nan}, {'NombreProducto': 'Edwin Jagger Money Clip, Gold Plated, BB176G', 'PrecioProducto': nan}, {'NombreProducto': 'Liptini - Lip Liqueur Lip &amp; Cheek Stains - Berry Cherry', 'PrecioProducto': nan}, {'NombreProducto': 'Oster Teqie Clipper/trimmer in Atomic Kiwi Color', 'PrecioProducto': nan}]"
18,spray,"[{'NombreProducto': 'KIEHLS ORIGINAL MUSK EDT SPRAY 3.4 OZ UNBOXEDUNISEX Genuine Brand Professional Makeup Result', 'PrecioProducto': nan}, {'NombreProducto': 'NYCE LEGS Spray On Stockings MEDIUM BEIGE 5oz/240ml', 'PrecioProducto': nan}, {'NombreProducto': ""Unker's Eucalyptus Sanitizing Room Spray Mist - 2 Fluid Ounces"", 'PrecioProducto': nan}, {'NombreProducto': 'FETISH By Dana For Women COLOGNE SPRAY 1.7 OZ', 'PrecioProducto': nan}, {'NombreProducto': 'Kenzo Amour by Kenzo for Women 3 Piece Set Includes: 3.4 oz Eau de Parfum Spray + 0.16 oz Eau de Parfum Miniature + 2.5 oz Soft Perfumed Body Lotion', 'PrecioProducto': nan}]"
19,ounce,"[{'NombreProducto': 'Natural Sensitive Care Black Currant Toothpaste 4oz 4 Ounces', 'PrecioProducto': nan}, {'NombreProducto': 'The Gillette Series Shave Gel, Deep Clean, 7-Ounce Bottle (Pack of 6)', 'PrecioProducto': nan}, {'NombreProducto': 'Liz Claiborne Collection Perfume 5 Piece Miniature Gift Set for Women, 0.5 Ounce', 'PrecioProducto': nan}, {'NombreProducto': ""Unker's Eucalyptus Sanitizing Room Spray Mist - 2 Fluid Ounces"", 'PrecioProducto': nan}, {'NombreProducto': 'Earthly Body Round Candle, Cucumber Melon, 6.8-Ounce', 'PrecioProducto': 13.98}]"
20,kit,"[{'NombreProducto': 'Oral-B Interdental Toothbrush Starter Kit 3 Snap- Lock Heads 1 Handle', 'PrecioProducto': nan}, {'NombreProducto': '9 Piece Smart Cover-Up Starter Kit (Dark)', 'PrecioProducto': nan}, {'NombreProducto': 'GoSmile Go All Out Kit', 'PrecioProducto': nan}, {'NombreProducto': 'Bare Escentuals bareMinerals get started eyes kit', 'PrecioProducto': nan}, {'NombreProducto': 'Earth Mama-Angel Baby Organic Labor Ease Kit, 1 kit', 'PrecioProducto': nan}]"
21,soap,"[{'NombreProducto': 'Splash by Upper Canada Duck Lemon 100g/3.2oz Sprinkle Soap', 'PrecioProducto': nan}, {'NombreProducto': 'Pre de Provence Artisanal French Soap Bar Enriched with Shea Butter, Quad-Milled For A Smooth &amp; Rich Lather (250 grams) - Linden', 'PrecioProducto': 10.32}, {'NombreProducto': ' Palmer&rsquo;s Skin Success Anti-Dark Spot Complexion Soap Bar, for All Skin Types, 3.5 oz. (Pack of 12)', 'PrecioProducto': 27.0}, {'NombreProducto': 'Safeguard Antibacterial Deoderant Soap White with Aloe 4.0 Oz. Each (Pack of 8)', 'PrecioProducto': nan}, {'NombreProducto': 'Bath &amp; Body Works CO Bigelow Variety Travel Gift Box including Mentha Body Wash, Lemon Body Cream, Quince Hand Lotion, Soap Free Hand Cleanser, Mentha Lip Shine, and a $5 Gift Card!', 'PrecioProducto': nan}]"
22,new,"[{'NombreProducto': 'Brand New In Box Enigma By Alexandra De Markoff 3 PIECE Gift Set for Women', 'PrecioProducto': nan}, {'NombreProducto': 'Bare Escentuals Buxom Lips Lip Polish Gloss Bambi NEW [Health and Beauty]', 'PrecioProducto': 39.95}, {'NombreProducto': '100% Pure NEW!! Tahiti (Coconut/Vanilla) MINI scrub - each', 'PrecioProducto': nan}, {'NombreProducto': 'NEW fashion HOT sexy Long light Blonde Straight Anime cosplay wigs party Masquerade girls 50CM', 'PrecioProducto': nan}, {'NombreProducto': 'New Earring Stud Coca Cola Coke Cute Collectible Free Shipping #2', 'PrecioProducto': nan}]"
23,face,"[{'NombreProducto': 'Beauticontrol Cell Block C Face &amp; Neck Serum', 'PrecioProducto': nan}, {'NombreProducto': 'Dove Exfoliating Face Care Daily Facial Cleansing Pillows - 14 Each', 'PrecioProducto': nan}, {'NombreProducto': 'Lycon Wax cellence waxing kit for face and body', 'PrecioProducto': nan}, {'NombreProducto': 'Druide Face Toner 8.4oz', 'PrecioProducto': nan}, {'NombreProducto': 'Surface Shields Inc. DG30WM Dirt Grabber Step n Peel Clean Mat', 'PrecioProducto': 46.2}]"
24,eye,"[{'NombreProducto': 'Almay Moisturizing Eye Makeup Remover Pads, 80-Pads (Pack of 4)', 'PrecioProducto': nan}, {'NombreProducto': 'Prestige Light Response Self-Adjusting Undereye Concealer FC-15 Caramel', 'PrecioProducto': nan}, {'NombreProducto': 'Bare Escentuals bareMinerals get started eyes kit', 'PrecioProducto': nan}, {'NombreProducto': 'Eye Pillow Hot Cold Aroma Therapy -Purple Silk Brocade', 'PrecioProducto': nan}, {'NombreProducto': 'Biore SHIKKARI Eye Make-Up Remover Sheet 36 Sheet (Japan Import)', 'PrecioProducto': 7.5}]"
25,white,"[{'NombreProducto': 'Miss Oops Boob Tube WHITE - MEDIUM/LARGE - LACE', 'PrecioProducto': nan}, {'NombreProducto': 'Safeguard Antibacterial Deoderant Soap White with Aloe 4.0 Oz. Each (Pack of 8)', 'PrecioProducto': nan}, {'NombreProducto': 'Bounty Basic Paper Towels, 15 Rolls, White, 60 One-Ply Sheets Per Roll', 'PrecioProducto': nan}, {'NombreProducto': 'Aquis Microfiber Shawl Collar Robe, Waffle, White, Small/Medium', 'PrecioProducto': 110.0}, {'NombreProducto': 'White Jasmine by Woods of Windsor Box 3 Piece Set', 'PrecioProducto': nan}]"
26,pink,"[{'NombreProducto': 'Opalescence Smilebrush Pink Single', 'PrecioProducto': nan}, {'NombreProducto': 'Universal Dora the Explorer Pink Twin Bed Comforter &amp; Sheet Set', 'PrecioProducto': nan}, {'NombreProducto': 'Gourmet Coarse Ground Himalayan Pink Salt', 'PrecioProducto': nan}, {'NombreProducto': 'Sally Hansen Nailgrowth Miracle 180 Profound Pink Nail Color by Sally Hansen', 'PrecioProducto': nan}, {'NombreProducto': 'Star Nail Starlite UV Gel Pink 1 oz', 'PrecioProducto': 15.55}]"
27,beauty,"[{'NombreProducto': 'HC LOTION 1% O-T-C ***FOU Size: 4 OZ [Health and Beauty]', 'PrecioProducto': nan}, {'NombreProducto': 'High Frequency Single Function Machine [Health and Beauty]', 'PrecioProducto': nan}, {'NombreProducto': 'Bare Escentuals Buxom Lips Lip Polish Gloss Bambi NEW [Health and Beauty]', 'PrecioProducto': 39.95}, {'NombreProducto': ""Victoria's Secret Beauty Rush Plumdrop Body Mist"", 'PrecioProducto': nan}, {'NombreProducto': ""Victoria's Secret Beauty Rush Body 3 in 1 Wash for Shower, Bubble Bath &amp; Hair Coconut Craze 8.4 Fl Oz"", 'PrecioProducto': 89.95}]"
28,art,"[{'NombreProducto': 'Oral-B Interdental Toothbrush Starter Kit 3 Snap- Lock Heads 1 Handle', 'PrecioProducto': nan}, {'NombreProducto': 'Pre de Provence Artisanal French Soap Bar Enriched with Shea Butter, Quad-Milled For A Smooth &amp; Rich Lather (250 grams) - Linden', 'PrecioProducto': 10.32}, {'NombreProducto': '9 Piece Smart Cover-Up Starter Kit (Dark)', 'PrecioProducto': nan}, {'NombreProducto': 'Earthly Body Round Candle, Cucumber Melon, 6.8-Ounce', 'PrecioProducto': 13.98}, {'NombreProducto': 'Bare Escentuals bareMinerals get started eyes kit', 'PrecioProducto': nan}]"
29,case,"[{'NombreProducto': 'One With Nature Dead Sea Fragrance Free Lotion, 12 Ounce -- 2 per case.', 'PrecioProducto': nan}, {'NombreProducto': ' Buxton Reading and Sunglasses Set with Buxton Leather Case- 2.0 x ', 'PrecioProducto': nan}, {'NombreProducto': 'Rubis case Elefantino, includes baby scissors', 'PrecioProducto': 51.48}, {'NombreProducto': '3 Swords Germany &ndash; brand quality 8 piece manicure pedicure grooming kit set for professional finger &amp; toe nail care scissors clipper fashion leather case in gift box, Made in Solingen Germany (956415)', 'PrecioProducto': nan}, {'NombreProducto': 'Lockable Makeup Cosmetic Aluminum Storage Case Box W Tiers', 'PrecioProducto': nan}]"
30,free,"[{'NombreProducto': 'Biotherm Acnopur Pore Unclogging Purifying Foam (oil free) 150ml/5.07oz', 'PrecioProducto': nan}, {'NombreProducto': 'Bath &amp; Body Works CO Bigelow Variety Travel Gift Box including Mentha Body Wash, Lemon Body Cream, Quince Hand Lotion, Soap Free Hand Cleanser, Mentha Lip Shine, and a $5 Gift Card!', 'PrecioProducto': nan}, {'NombreProducto': 'One With Nature Dead Sea Fragrance Free Lotion, 12 Ounce -- 2 per case.', 'PrecioProducto': nan}, {'NombreProducto': 'CoverGirl Clean Clean Fragrance Free Foundation, Creamy Natural 220 1 fl oz (30 ml)', 'PrecioProducto': nan}, {'NombreProducto': 'On the Go Mens Products Freeze Shaving Gel W Aloe &amp; Vitamin E/5.0 Fl Oz', 'PrecioProducto': nan}]"
31,size,"[{'NombreProducto': 'No Nix Astringent Styptic Pencil, Travel Size - 12 ct, Pack of 3', 'PrecioProducto': nan}, {'NombreProducto': 'HC LOTION 1% O-T-C ***FOU Size: 4 OZ [Health and Beauty]', 'PrecioProducto': nan}, {'NombreProducto': 'A Size Above Big &amp; Tall Vented Mesh Back Barber Vest, Chocolate Brown, 3X', 'PrecioProducto': nan}, {'NombreProducto': 'UV Natural SPF 30+ Baby Sunscreen, 5.29 oz size', 'PrecioProducto': nan}, {'NombreProducto': 'NO-GERMS FOAM HAND SANITIZER Size: 210 ML', 'PrecioProducto': 27.4}]"
32,100,"[{'NombreProducto': 'Splash by Upper Canada Duck Lemon 100g/3.2oz Sprinkle Soap', 'PrecioProducto': nan}, {'NombreProducto': 'Jojoba Oil 100% Pure 16 oz By HalalEveryDay', 'PrecioProducto': 20.01}, {'NombreProducto': 'BLACK DIAMOND 100% REMI HUMAN HAIR NATURAL PERM 18&quot;(Solid Color)', 'PrecioProducto': 19.42}, {'NombreProducto': ""Intrinsics 100% Cotton Coil 1200'"", 'PrecioProducto': nan}, {'NombreProducto': 'Macleans Freshmint Toothpaste Tube (100ml)', 'PrecioProducto': nan}]"
33,lotion,"[{'NombreProducto': 'HC LOTION 1% O-T-C ***FOU Size: 4 OZ [Health and Beauty]', 'PrecioProducto': nan}, {'NombreProducto': 'Avalon Natural Products - Lavender Hand &amp; Body Lotion, 12 fl oz lotion', 'PrecioProducto': nan}, {'NombreProducto': 'Sally Hansen for Men Maximum Strength Hair Remover Lotion for Men 6oz.', 'PrecioProducto': 25.0}, {'NombreProducto': 'Wave Nouveau Moisturizing Finishing Lotion 8.5oz (2 Pack)', 'PrecioProducto': 13.5}, {'NombreProducto': 'Kenzo Amour by Kenzo for Women 3 Piece Set Includes: 3.4 oz Eau de Parfum Spray + 0.16 oz Eau de Parfum Miniature + 2.5 oz Soft Perfumed Body Lotion', 'PrecioProducto': nan}]"
34,men,"[{'NombreProducto': 'Pure Poison By Christian Dior For Women. Moisturizing Perfumed Shower 6.8 Oz.', 'PrecioProducto': nan}, {'NombreProducto': 'Liz Claiborne Collection Perfume 5 Piece Miniature Gift Set for Women, 0.5 Ounce', 'PrecioProducto': nan}, {'NombreProducto': 'Sally Hansen for Men Maximum Strength Hair Remover Lotion for Men 6oz.', 'PrecioProducto': 25.0}, {'NombreProducto': 'FETISH By Dana For Women COLOGNE SPRAY 1.7 OZ', 'PrecioProducto': nan}, {'NombreProducto': 'Adolfo Dominguez - ADOLFO DOMINGUEZ ALEGRIA MEN EAU DE TOILETTE 50ML VAPO,', 'PrecioProducto': nan}]"
35,bag,"[{'NombreProducto': 'Blue Q Touch Your Groove Shopper Bag', 'PrecioProducto': nan}, {'NombreProducto': 'JAQUA - The Getaway Bag', 'PrecioProducto': nan}, {'NombreProducto': ""Victoria's Secret Zipper Travel Lingerie Laundry Bag"", 'PrecioProducto': nan}, {'NombreProducto': 'Cedar - New Age Resin Powder - One Ounce Bag', 'PrecioProducto': nan}, {'NombreProducto': 'Benzoin of Sumatra Siftings - 1/2 Ounce Bag - Charcoal Burning Premium Natural Resin Incense', 'PrecioProducto': nan}]"
36,blue,"[{'NombreProducto': 'Blue Q Touch Your Groove Shopper Bag', 'PrecioProducto': nan}, {'NombreProducto': 'Queen Helene Designing Gel (Blue) 16oz', 'PrecioProducto': nan}, {'NombreProducto': 'Blue Q Miso Pretty Soap', 'PrecioProducto': nan}, {'NombreProducto': 'Bath &amp; Body Works Cat Shaped Hard Plastic Hand Massager - Blue, Purple, Pink Floral Pattern', 'PrecioProducto': nan}, {'NombreProducto': 'Brucci Nail Polish (58 mono blue)', 'PrecioProducto': nan}]"
37,powder,"[{'NombreProducto': 'Urban Decay CHERRY LEMONADE Kissable Powder', 'PrecioProducto': nan}, {'NombreProducto': 'SEPHORA COLLECTION Classic Retractable Travel Powder Brush #51', 'PrecioProducto': nan}, {'NombreProducto': 'Hemp Protein Powder 16 Oz ( 2-Pack)', 'PrecioProducto': 31.65}, {'NombreProducto': 'Christian Dior Terra Bella Sun Powder 764 Bronze', 'PrecioProducto': nan}, {'NombreProducto': 'Cedar - New Age Resin Powder - One Ounce Bag', 'PrecioProducto': nan}]"
38,fashion,"[{'NombreProducto': 'NEW fashion HOT sexy Long light Blonde Straight Anime cosplay wigs party Masquerade girls 50CM', 'PrecioProducto': nan}, {'NombreProducto': '3 Swords Germany &ndash; brand quality 8 piece manicure pedicure grooming kit set for professional finger &amp; toe nail care scissors clipper fashion leather case in gift box, Made in Solingen Germany (956415)', 'PrecioProducto': nan}, {'NombreProducto': 'Hollywood Fashion Secrets Fashion Tape Gun, Floral', 'PrecioProducto': 9.85}, {'NombreProducto': 'JE249 Fashion Gold Ring, Polished Stainless Steel Leaf Ring Jewelry, Sparkling!', 'PrecioProducto': nan}, {'NombreProducto': '2012 fashion style nail art nail decals Fashion French Nail stickers cobwebs by YiMei', 'PrecioProducto': nan}]"
39,care,"[{'NombreProducto': 'Natural Sensitive Care Black Currant Toothpaste 4oz 4 Ounces', 'PrecioProducto': nan}, {'NombreProducto': 'Pedifix Pediplast Advanced Moldable Footcare Compound 1 Jar Compound (400 Grams) 4 Tubes Curing - Model 8002 - Each', 'PrecioProducto': 146.99}, {'NombreProducto': 'Breath Care Mint 50 softgels (1)', 'PrecioProducto': 7.99}, {'NombreProducto': 'Biotherm by BIOTHERM For women Nutrisource Levres Nourishing Lip Balm--/0.5OZ(Skincare - Night Care)', 'PrecioProducto': nan}, {'NombreProducto': 'Derma E Natural Body Care Refreshing Skin Toner', 'PrecioProducto': nan}]"
40,red,"[{'NombreProducto': 'Camphor Spirits by Preffered Plus - 1 Oz', 'PrecioProducto': nan}, {'NombreProducto': 'Spa Sister Terry Bath Pillow with Embroidered Dots - Green', 'PrecioProducto': nan}, {'NombreProducto': 'Infrared Sauna Dome DS689 - Amazing Far Infrared Sauna Dome Beautifies, Revitalizes, Sweats Away Weight and Inches!', 'PrecioProducto': nan}, {'NombreProducto': 'KMS Turnstylr Color Copper Wired 1.7 oz.', 'PrecioProducto': nan}, {'NombreProducto': 'Renovage aka Teprenone anti-aging peptide improves skin texture and tone reducing redness, appearance of wrinkles Skin Perfection', 'PrecioProducto': 21.95}]"
41,silver,"[{'NombreProducto': 'BRITISH STERLING SILVER by Dana', 'PrecioProducto': nan}, {'NombreProducto': 'Logo Silver Shear Collection #212 by Cricket', 'PrecioProducto': nan}, {'NombreProducto': '2-Carat White Topaz Stud Sterling Silver Earrings', 'PrecioProducto': nan}, {'NombreProducto': 'Gay Lesbian 2 Girl Sexy Silver Color Belt Buckle', 'PrecioProducto': 11.99}, {'NombreProducto': 'Betty Dain Circles Print Shampoo Cape, Silver', 'PrecioProducto': nan}]"
